be|[+preposition]%D7%91[+relativizer/subordinatingConjunction]%D7%A9|-|-|-|-|+|-|-|-|+|-|+|+|+|+|-|-|-|+|-
bk|[+preposition]%D7%91[+adverb]%D7%9B|-|-|-|+|-|-|-|-|-|-|-|-|+|+|-|-|-|+|-
b|[+preposition]%D7%91|+|-|-|-|-|-|-|-|-|-|-|-|+|+|-|-|-|+|-
b|[+preposition]%D7%91|-|-|-|-|-|-|-|-|-|-|-|-|+|+|-|-|-|+|-
ebk|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91[+adverb]%D7%9B|-|-|-|+|+|-|-|-|-|+|+|+|+|+|-|-|-|+|-
eb|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91|+|-|-|-|+|-|-|-|-|+|-|-|+|+|-|-|-|+|-
eb|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%91|-|-|-|-|+|-|-|-|-|+|-|-|+|+|-|-|-|+|-
ekeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%91|+|-|-|-|+|+|-|-|-|+|+|-|+|+|-|-|-|+|-
ekeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%91|-|-|-|-|+|+|-|-|-|+|+|-|+|+|-|-|-|+|-
ekek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%91%D7%9B%D7%A9[+preposition]%D7%9B|+|-|-|-|+|+|-|-|-|+|+|-|+|-|+|-|-|+|-
ekek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%91%D7%9B%D7%A9[+preposition]%D7%9B|-|-|-|-|+|+|-|-|-|+|+|-|+|-|+|-|-|+|-
ekek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+adverb]%D7%9B|-|-|-|+|-|+|-|-|-|+|+|-|+|-|-|-|-|-|-
ekel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|+|-|-|-|+|+|-|-|-|+|+|-|+|-|-|+|-|+|-
ekel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9[+preposition]%D7%9C|-|-|-|-|+|+|-|-|-|+|+|-|+|-|-|+|-|+|-
ekem|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%91%D7%9B%D7%A9[+preposition]%D7%9E|-|-|-|-|+|+|-|-|-|+|+|-|+|-|-|-|+|+|-
eke|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9B%D7%A9|-|-|-|-|+|+|-|-|-|+|+|+|+|-|-|-|-|-|-
ek|[+relativizer/subordinatingConjunction]%D7%A9[+adverb]%D7%9B|-|-|-|+|+|-|-|-|-|+|-|-|+|-|-|-|-|-|-
ek|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9B|+|-|-|-|+|-|-|-|-|+|-|-|+|-|+|-|-|+|-
ek|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9B|-|-|-|-|+|-|-|-|-|+|-|-|+|-|+|-|-|+|-
elkeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|+|-|-|-|+|-|-|+|-|+|+|-|+|+|-|-|-|+|-
elkeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%91|-|-|-|-|+|-|-|+|-|+|+|-|+|+|-|-|-|+|-
elkek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9B|+|-|-|-|+|-|-|+|-|+|+|-|+|-|+|-|-|+|-
elkek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9B|-|-|-|-|+|-|-|+|-|+|+|-|+|-|+|-|-|+|-
elkel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9C|+|-|-|-|+|-|-|+|-|+|+|-|+|-|-|+|-|+|-
elkel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9C|-|-|-|-|+|-|-|+|-|+|+|-|+|-|-|+|-|+|-
elkem|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9[+preposition]%D7%9E|-|-|-|-|+|-|-|+|-|+|+|-|+|-|-|-|+|+|-
elke|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9C%D7%9B%D7%A9|-|-|-|-|-|-|-|+|-|+|+|+|+|-|-|-|-|-|-
elk|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9C[+adverb]%D7%9B|-|-|-|+|+|-|-|-|+|-|-|-|-|-|-|+|-|+|-
el|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9C|+|-|-|-|+|+|-|-|-|+|-|-|+|-|-|+|-|+|-
el|[+relativizer/subordinatingConjunction]%D7%A9[+preposition]%D7%9C|-|-|-|-|+|-|-|-|-|+|-|-|+|-|-|+|-|+|-
emeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%91|+|-|-|-|+|-|+|-|-|+|+|-|+|+|-|-|-|+|-
emeb|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%91|-|-|-|-|+|-|+|-|-|+|+|-|+|+|-|-|-|+|-
emek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+adverb]%D7%9B|-|-|-|+|+|-|+|-|-|+|+|-|+|-|-|-|-|-|-
emek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9B|+|-|-|-|+|-|+|-|-|+|+|-|+|-|+|-|-|+|-
emek|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9B|-|-|-|-|+|-|+|-|-|+|-|-|+|-|+|-|-|+|-
emel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9C|+|-|-|-|+|-|+|-|-|+|+|-|+|-|-|+|-|+|-
emel|[+relativizer/subordinatingConjunction]%D7%A9[+temporalSubConj]%D7%9E%D7%A9[+preposition]%D7%9C|-|-|-|-|+|-|+|-|-|+|+|-|+|-|-|+|-|+|-
